University,Department,Overall Pay,LW Ratio,Academic Year,Field,School
Stanford University (SU),Education,52500.0,1.83,2024-2025,Social Science,
Yale University (YU),Computer Science,49538.0,2.0,2024-2025,STEM,Ivy
Northwestern University (NU),Linguistics,45000.0,1.85,2024-2025,Social Science,
University of Illinois - Urbana- Champaign (UIUC),Natural Resources and Environmental Sciences,26779.0,1.22,2023-2024,STEM,
Boston University (BU),Questrom School of Business,45000.0,1.57,2024-2025,Business,
University of North Dakota (ND),Counseling Psychology ,28000.0,1.45,2024-2025,Social Science,
University of Utah,Computer Science,29700.0,1.33,2023-2024,STEM,
Louisiana State University - Baton Rouge,Mathematics,30500.0,1.4,2024-2025,STEM,
University of California - Berkeley,Economics,40000.0,1.44,2024-2025,Social Science,
Arizona State University (ASU),Computer Engineering,32000.0,1.44,2023-2024,STEM,
university of akron,mechanical engineering,30000.0,,2025-2026,STEM,
Auburn University (AU),Industrial and Systems engineering,17000.0,0.78,2023-2024,STEM,
University of Hawaii - Manoa (UH),Civil and environmental engineering,26900.0,0.88,2025-2026,STEM,
New York University (NYU),Tandon CSE,46800.0,1.57,2024-2025,STEM,
Pennsylvania State University (Penn State),Educational Psychology,29000.0,1.29,2022-2023,Social Science,
University of Texas - Austin (UT),Special Education,27600.0,1.21,2024-2025,Social Science,
University of Texas - Austin (UT),Civil Engineering ,34000.0,1.49,2024-2025,STEM,
University of California - Los Angeles (UCLA),Civil Engineering,39000.0,1.51,2024-2025,STEM,
University of Arizona (U of A),Biomedical Engineering,32486.0,1.57,2024-2025,STEM,
University of Arizona (U of A),Biomedical Engineering,30322.0,1.46,2024-2025,STEM,
Indiana University,Biochemistry,29850.0,1.38,2024-2025,STEM,
University of Michigan - Ann Arbor (UM),Mechanical Engineering,41308.0,1.79,2024-2025,STEM,
University of California - Los Angeles (UCLA),Comparative Literature,32000.0,1.24,2022-2023,Humanities,
University of California - San Diego (UCSD),Mechanical Engineering,24000.0,0.91,2015-2016,STEM,
Auburn University (AU),mechanical Engineering,18900.0,0.87,2024-2025,STEM,
University of Cincinnati (UC),Computer Science,23786.0,1.23,2023-2024,STEM,
University of Notre Dame (ND),electrical engineering,40000.0,1.95,2024-2025,STEM,
Carnegie Mellon University (CMU),Neuroscience,38000.0,1.84,2024-2025,STEM,
Drexel University (DU),Electrical Engineering,30000.0,1.24,2024-2025,STEM,
Georgia State University (GSU),Psychology,15000.0,0.64,2022-2023,Social Science,
University of Wisconsin - Madison (UW),Epidemiology,31620.0,1.38,2024-2025,STEM,
Princeton University,History,49920.0,1.96,2024-2025,Humanities,Ivy
