University,Department,Overall Pay,LW Ratio,Academic Year,Field,School
University of Arizona (U of A),School of Public Policy and Government,18600.0,0.9,2021-2022,Social Science,
Michigan State University (MSU),English,18291.0,0.89,2022-2023,Humanities,
Emory University,Physics,31728.0,1.36,2021-2022,STEM,
University of Florida (UF),Environmental Engineering Sciences,28000.0,1.23,2022-2023,STEM,
University of California - Davis (UCD),applied math,28000.0,1.17,2022-2023,STEM,
University of South Florida (UCF),Psychology,17030.0,0.78,2022-2023,Social Science,
University of Virginia (UVA),Engineering Systems and Environment,34000.0,1.49,2021-2022,STEM,
Vanderbilt University,Computer Science,31000.0,1.35,2021-2022,STEM,
University of Wisconsin - Madison (UW),Chemical and Biological Engineering,33000.0,1.45,2022-2023,STEM,
University of Wisconsin - Madison (UW),Chemical and Biological Engineering,33000.0,1.45,2022-2023,STEM,
University of Illinois - Urbana- Champaign (UIUC),Chemical and Biomolecular Engineering,31620.0,1.44,2022-2023,STEM,
University of Illinois - Urbana- Champaign (UIUC),Chemical and Biomolecular Engineering,20000.0,0.91,2022-2023,STEM,
University of Illinois - Urbana- Champaign (UIUC),Chemical and Biomolecular Engineering,31620.0,1.44,2022-2023,STEM,
University of Illinois - Urbana- Champaign (UIUC),Chemical and Biomolecular Engineering,31620.0,1.44,2022-2023,STEM,
University of Illinois - Urbana- Champaign (UIUC),Chemical and Biomolecular Engineering,31620.0,1.44,2022-2023,STEM,
University of Illinois - Urbana- Champaign (UIUC),Chemical and Biomolecular Engineering,31620.0,1.44,2022-2023,STEM,
University of Wisconsin - Madison (UW),Chemical and Biological Engineering,33000.0,1.45,2022-2023,STEM,
University of North Carolina - Chapel Hill (UNC),Political science,20000.0,0.9,2021-2022,Social Science,
University of California - Berkeley,Sociology,31000.0,1.12,2020-2021,Social Science,
Northern Arizona University (NAU),Mechanical Engineering,24300.0,1.04,2020-2021,STEM,
New York University (NYU),Computer Science,51200.0,1.72,2022-2023,STEM,
Louisiana State University - Baton Rouge,Chemical Engineering ,28500.0,1.31,2020-2021,STEM,
Louisiana State University - Baton Rouge,Chemical Engineering ,26500.0,1.22,2020-2021,STEM,
Georgia Institute of Technology (Georgia Tech),chemical engineering,31114.0,1.34,2022-2023,STEM,
University of Iowa (UI),Chemical Engineering ,31100.0,1.4,2022-2023,STEM,
University of Texas - Austin (UT),Computational Science and Engineering,35000.0,1.53,2020-2021,STEM,
University of Alabama (UA),History ,15000.0,0.71,2022-2023,Humanities,
Ohio State University (OSU),Aerospace Engineering,28000.0,1.4,2022-2023,STEM,
Ohio State University (OSU),Aerospace Engineering,28000.0,1.4,2022-2023,STEM,
Pennsylvania State University (Penn State),Chemistry,31000.0,1.38,2021-2022,STEM,
New York University (NYU),Psychology,30000.0,1.01,2021-2022,Social Science,
University of Colorado - Boulder (UCB),Computer Science ,36100.0,1.42,2020-2021,STEM,
University of Colorado - Boulder (UCB),Computer Science PhD,36100.0,1.42,2020-2021,STEM,
University of Missouri (MU),Developmental Psychology ,18825.0,0.92,2021-2022,Social Science,
University of Melbourne,Department of Management ,30000.0,,2020-2021,Business,
University of Minnesota - Twin Cities (UM),Chemistry,26400.0,1.15,2020-2021,STEM,
Purdue University - West Lafayette,Mechanical engineering ,22200.0,1.05,2021-2022,STEM,
Georgia Institute of Technology (Georgia Tech),Mechanical Engineering,24909.0,1.07,2020-2021,STEM,
University of Memphis,chemistry,21000.0,0.94,2022-2023,STEM,
University of Oklahoma (OU),Chemistry and Biochemistry ,24900.0,1.24,2021-2022,STEM,
University of Arizona (U of A),Management,30000.0,1.45,2020-2021,Business,
University of Kentucky (UK),Integrated Biomedical Sciences,26000.0,1.27,2021-2022,STEM,
Syracuse University,Physics,26030.0,1.22,2022-2023,STEM,
University of Virginia (UVA),Nursing,15000.0,0.66,2021-2022,STEM,
Florida State University (FSU),Statistics,18326.0,0.79,2021-2022,STEM,
California Institute of Technology (Caltech),Biochemistry and Molecular Biophysics,40000.0,1.55,2021-2022,STEM,
University of Pittsburgh,Mechanical Engineering,26940.0,1.3,2020-2021,STEM,
University of California - Berkeley,Political Science,34000.0,1.22,2022-2023,Social Science,
Emory University,Political Science,33000.0,1.42,2022-2023,Social Science,
University of Virginia (UVA),History PhD,26000.0,1.14,2021-2022,Humanities,
Tulane University (TU),History,18000.0,0.78,2020-2021,Humanities,
Cornell University (CU),Immunology and Microbial Pathogenesis,43500.0,1.79,2020-2021,STEM,Ivy
George Washington University (GW),Chemistry,35560.0,1.15,2021-2022,STEM,
University of Iowa (UI),biostatistics,25000.0,1.13,2016-2017,STEM,
Virginia Tech,Computer Science,23750.0,1.13,2021-2022,STEM,
University of North Texas (UNT),English,15582.0,0.72,2022-2023,Humanities,
Georgetown University,Chemistry ,36693.0,1.19,2022-2023,STEM,
Northeastern University (NU),population health ,33000.0,1.15,2022-2023,STEM,
Northeastern University (NU),population health ,33000.0,1.15,2022-2023,STEM,
Princeton University,politics ,46000.0,1.81,2022-2023,Social Science,Ivy
Emory University,political science,32000.0,1.37,2022-2023,Social Science,
Cornell University (CU),Medical science,43500.0,1.79,2020-2021,STEM,Ivy
Pennsylvania State University (Penn State),Political science,26730.0,1.19,2022-2023,Social Science,
University of Toronto,Electrical and Computer Engineering,17500.0,,2020-2021,STEM,
University of California - Riverside (UCR),chemistry,45560.0,1.89,2022-2023,STEM,
Columbia University (CU),East Asian Studies,37644.0,1.27,2022-2023,Humanities,Ivy
University of Florida (UF),Biology,23362.0,1.03,2020-2021,STEM,
University of Massachusetts - Boston (UMB),Public Policy,15800.0,0.55,2020-2021,Social Science,
Pennsylvania State University (Penn State),Comparative literature,21600.0,0.96,2022-2023,Humanities,
Virginia Tech,Biomedical Engineering and Mechanics,24000.0,1.14,2021-2022,STEM,
Boston College (BC),Mathematics,38000.0,1.36,2021-2022,STEM,
Boston College (BC),Mathematics,28500.0,1.02,2021-2022,STEM,
University of Pittsburgh,Psychology,26919.0,1.3,2021-2022,Social Science,
Virginia Tech,Computer Science,17222.0,0.82,2020-2021,STEM,
Texas Tech University (TTU),Biology,23695.0,1.45,2013-2014,STEM,
University of Mississippi (Ole Miss),Biology,25000.0,1.15,2016-2017,STEM,
Rice University,Computer Science,27500.0,1.26,2022-2023,STEM,
New York University (NYU),Biology,41513.0,1.4,2021-2022,STEM,
Vanderbilt University,Civil and Environmental,31000.0,1.35,2021-2022,STEM,
University of Tennessee - Knoxville,Mechanical Engineering,19000.0,0.9,2021-2022,STEM,
Columbia University (CU),Computer Science,50120.0,1.69,2020-2021,STEM,Ivy
University of Connecticut (UConn),Biomedical Engineering,32000.0,1.32,2021-2022,STEM,
University of California - San Diego (UCSD),Political Science,30000.0,1.13,2022-2023,Social Science,
University of Notre Dame (ND),Political Science,27000.0,1.32,2022-2023,Social Science,
Princeton University,History,45600.0,1.79,2022-2023,Humanities,Ivy
University of Washington (UW),Computer Science,28399.0,1.22,2022-2023,STEM,
Montana State University (MSU),History,17700.0,0.85,2020-2021,Humanities,
University of Delaware (UD),Biomedical Engineering,30000.0,1.18,2022-2023,STEM,
University of Washington (UW),Public Health,22617.0,0.97,2020-2021,Social Science,
Rice University,Physics,33000.0,1.51,2022-2023,STEM,
Pennsylvania State University (Penn State),human development and family studies,23490.0,1.05,2022-2023,Humanities,
University of Illinois - Chicago (UIC),Chemistry,23740.0,0.98,2022-2023,STEM,
Tufts University (TU),child studies,24007.0,0.86,2020-2021,Humanities,
University of Delaware (UD),Chemical Engineering ,33500.0,1.32,2022-2023,STEM,
Tufts University (TU),Computer Science,31500.0,1.13,2022-2023,STEM,
Johns Hopkins University (JHU),Computer Science,37333.0,1.45,2021-2022,STEM,
University of Iowa (UI),Microbiology and Immunology,31000.0,1.4,2022-2023,STEM,
Purdue University - West Lafayette,Chemistry,25474.0,1.2,2022-2023,STEM,
North Dakota State University (NDSU),Agribusiness and Applied Economics,17200.0,0.9,2022-2023,Social Science,
Texas Christian University (TCU),MS Biology,20100.0,0.92,2022-2023,STEM,
University of Washington (UW),Molecular Engineering ,33300.0,1.43,2022-2023,STEM,
New York University (NYU),neural science,34500.0,1.16,2020-2021,STEM,
Loma Linda University,Integrated Biomedical Graduate Studies ,24000.0,,2022-2023,Humanities,
George Washington University (GW),Electrical and Computer Engineering,27577.0,0.89,2021-2022,STEM,
Hong Kong University of Science and Technology,PhD Civil Engineering,23400.0,,2021-2022,STEM,
Princeton University,Humanities,45700.0,1.8,2022-2023,Humanities,Ivy
University of Minnesota - Twin Cities (UM),Anthropology,22000.0,0.96,2021-2022,Humanities,
University of Notre Dame (ND),Biological Sciences,31850.0,1.56,2021-2022,STEM,
University of Minnesota - Twin Cities (UM),Computer Science,19112.0,0.83,2021-2022,STEM,
Rensselaer Polytechnic Institute (RPI),Biochemistry and Biophysics ,28287.0,1.24,2020-2021,STEM,
University of Colorado - Denver (UCD),Human Medical Genetics and Genomics,34000.0,1.52,2021-2022,STEM,
University of Utah,Biomedical Engineering,28000.0,1.26,2020-2021,STEM,
University of Utah,Biomedical Engineering,25434.0,1.14,2020-2021,STEM,
Washington University in St. Louis (Wash U),Division of Biology & biomedical science ,34500.0,1.67,2020-2021,STEM,
University of Maryland - College Park (UMD),linguistics,24183.0,0.8,2020-2021,Social Science,
University of Nevada - Las Vegas (UNLV),Psychology,15000.0,0.66,2020-2021,Social Science,
BAYLOR COLLEGE OF MEDICINE,Graduate School of Biomedical Sciences,35500.0,,2022-2023,STEM,
University of California - San Diego (UCSD),Neurosciences,34500.0,1.3,2021-2022,STEM,
University of California - San Diego (UCSD),History,24300.0,0.92,2021-2022,Humanities,
University of Texas - Austin (UT),Government Political Science,22000.0,0.96,2022-2023,Social Science,
University of Maryland - College Park (UMD),Bioengineering,32100.0,1.06,2020-2021,STEM,
University of Kansas (KU),Department of Special Education,29000.0,1.42,2020-2021,Social Science,
Rensselaer Polytechnic Institute (RPI),Biology,30800.0,1.35,2020-2021,STEM,
Boston University (BU),Mathematics and Statistics ,34500.0,1.2,2020-2021,STEM,
University of Arizona (U of A),Special Educatiom,29300.0,1.41,2021-2022,Social Science,
Duke University (DU),Mechanical Engineering and Materials Science,32400.0,1.46,2021-2022,STEM,
University of Nevada - Reno (UNR),Environmental Science ,24000.0,1.14,2021-2022,STEM,
"Heriot Watt University, Edinburgh",Engineering and Physical Sciences,20960.0,,2021-2022,STEM,
Pennsylvania State University (Penn State),Biology,29755.0,1.32,2021-2022,STEM,
Princeton University,Chemical and Biological Engineering,53000.0,2.09,2021-2022,STEM,Ivy
University of Connecticut (UConn),Public Health,29500.0,1.21,2021-2022,Social Science,
University of Wisconsin - Madison (UW),CS,16200.0,0.71,2020-2021,STEM,
University of Kansas (KU),American Studies,17750.0,0.87,2020-2021,Humanities,
University of Hawaii - Manoa (UH),English,23952.0,0.79,2020-2021,Humanities,
University of Florida (UF),Spanish and Portuguese,17700.0,0.78,2021-2022,Humanities,
Georgia Institute of Technology (Georgia Tech),Interactive Computing,31496.0,1.35,2021-2022,STEM,
Georgia Institute of Technology (Georgia Tech),Interactive Computing,28196.0,1.21,2021-2022,STEM,
Tulane University (TU),Biomedical Sciences,30000.0,1.3,2021-2022,STEM,
Florida International University (FIU),History ,21600.0,0.91,2020-2021,Humanities,
University of Alaska - Fairbanks (UAF),Biology & Wildlife,16042.0,0.67,2021-2022,Social Science,
Wake Forest University (WFU),Neuroscience,28276.0,1.3,2021-2022,STEM,
University of Michigan - Ann Arbor (UM),American Culture ,23000.0,1.0,2020-2021,Humanities,
University of Oklahoma (OU),History of Science,19620.0,0.98,2020-2021,Humanities,
University of Florida (UF),Computer Science,28500.0,1.25,2020-2021,STEM,
University of Oklahoma (OU),Physics,20800.0,1.03,2020-2021,STEM,
University of Texas Medical Branch - Galveston,Graduate School of Biomedical Sciences,31500.0,1.44,2021-2022,STEM,
University of Pennsylvania,Biomedical Graduate Studies ,34500.0,1.43,2020-2021,Humanities,Ivy
University of Wyoming (UW),Program in Ecology,22792.0,1.09,2020-2021,STEM,
University of South Carolina (USC),Neuroscience Graduate Program,35000.0,1.55,2021-2022,STEM,
St. Louis University (SLU),Theological Studies,17400.0,0.84,2020-2021,Humanities,
Northwestern University (NU),School of Education and Social Policy,39700.0,1.64,2021-2022,Social Science,
Northwestern University (NU),Sociology,33801.0,1.39,2021-2022,Social Science,
Emory University,Microbiology and Molecular Genetics,31685.0,1.36,2021-2022,STEM,
University of Colorado - Boulder (UCB),Business,29000.0,1.14,2020-2021,Business,
University of California - San Diego (UCSD),Biomedical Sciences,34500.0,1.3,2020-2021,STEM,
University of Calgary,Anthropology and Archaeology ,17000.0,,2021-2022,Humanities,
University of Houston (UH),History,17082.0,0.78,2021-2022,Humanities,
University of California - Irvine (UCI),Developmental and Cell Biology,33000.0,1.13,2020-2021,Social Science,
University of Houston (UH),History,17082.0,0.78,2021-2022,Humanities,
University of Texas - Austin (UT),Special Education,38000.0,1.66,2021-2022,Social Science,
Syracuse University,Philosophy ,20700.0,0.97,2021-2022,Humanities,
University of Pittsburgh,Economics,20580.0,0.99,2021-2022,Social Science,
University of Minnesota - Twin Cities (UM),Chemical Engineering,33000.0,1.44,2022-2023,STEM,
University of Rochester (UR),Chemistry,27500.0,1.29,2020-2021,STEM,
University of Southern California (USC),Civil and Environmental Engineering,32000.0,1.24,2021-2022,STEM,
University of Minnesota - Twin Cities (UM),Social Work,17604.0,0.77,2021-2022,Social Science,
Michigan State University (MSU),Political Science,27929.0,1.36,2020-2021,Social Science,
Temple University (TU),History,19527.0,0.81,2020-2021,Humanities,
Washington State University (WSU),Animal Science ,16000.0,0.85,2021-2022,STEM,
University of Arkansas - Fayetteville,Psychological Sciences,37000.0,1.85,2020-2021,Social Science,
University of Tennessee - Knoxville,Ecology and Evoluationary Biology,20000.0,0.94,2020-2021,STEM,
University of Minnesota - Twin Cities (UM),History,19450.0,0.85,2020-2021,Humanities,
Cornell University (CU),Civil and Environmental Engineering,41666.0,1.72,2020-2021,STEM,Ivy
Ohio State University (OSU),Marketing & Logistics,28373.0,1.41,2022-2023,Business,
University of Tennessee - Knoxville,Phd Ecology & Evolutionary Biology,20000.0,0.94,2020-2021,STEM,
Michigan Technological University (MTU),College of Computing,20900.0,1.03,2021-2022,STEM,
University of Pittsburgh,Psychology,29000.0,1.4,2021-2022,Social Science,
University of Pittsburgh,Psychology,29000.0,1.4,2021-2022,Social Science,
University of Minnesota - Twin Cities (UM),Mathematics,18600.0,0.81,2021-2022,STEM,
University of Hawaii - Manoa (UH),Cellular and Molecular Biology,29100.0,0.95,2021-2022,STEM,
University of Chicago (UC),Public Health Sciences,34000.0,1.4,2020-2021,Social Science,
University of Texas Southwestern Medical Center - Dallas,Molecular Bio,35000.0,1.62,2020-2021,STEM,
Stanford University (SU),Mechanical engineering,48000.0,1.67,2020-2021,STEM,
University of California - San Diego (UCSD),Chemistry,34000.0,1.28,2022-2023,STEM,
University of Illinois - Urbana- Champaign (UIUC),English,18100.0,0.82,2022-2023,Humanities,
